FIPS,StateAbbr,State,MHI
24,MD,Maryland,"78,787"
34,NJ,New Jersey,"76,212"
02,AK,Alaska,"76,144"
25,MA,Massachusetts,"75,207"
15,HI,Hawaii,"74,659"
11,DC,District of Columbia,"74,093"
09,CT,Connecticut,"73,380"
33,NH,New Hampshire,"70,986"
51,VA,Virginia,"68,127"
06,CA,California,"67,715"
53,WA,Washington,"67,064"
49,UT,Utah,"65,931"
08,CO,Colorado,"65,718"
27,MN,Minnesota,"65,583"
36,NY,New York,"62,700"
10,DE,Delaware,"62,112"
38,ND,North Dakota,"61,898"
56,WY,Wyoming,"61,686"
17,IL,Illinois,"60,977"
44,RI,Rhode Island,"60,046"
50,VT,Vermont,"57,661"
00,US,United States,"57,617"
41,OR,Oregon,"57,379"
31,NE,Nebraska,"56,979"
42,PA,Pennsylvania,"56,897"
55,WI,Wisconsin,"56,808"
48,TX,Texas,"56,583"
19,IA,Iowa,"56,354"
32,NV,Nevada,"55,201"
46,SD,South Dakota,"54,926"
20,KS,Kansas,"54,828"
04,AZ,Arizona,"53,481"
13,GA,Georgia,"53,468"
23,ME,Maine,"52,926"
26,MI,Michigan,"52,436"
39,OH,Ohio,"52,357"
18,IN,Indiana,"52,289"
29,MO,Missouri,"51,713"
16,ID,Idaho,"51,647"
12,FL,Florida,"50,857"
37,NC,North Carolina,"50,595"
30,MT,Montana,"50,265"
45,SC,South Carolina,"49,587"
40,OK,Oklahoma,"49,204"
47,TN,Tennessee,"48,506"
35,NM,New Mexico,"46,844"
21,KY,Kentucky,"46,610"
01,AL,Alabama,"46,309"
22,LA,Louisiana,"45,374"
05,AR,Arkansas,"44,406"
54,WV,West Virginia,"43,175"
28,MS,Mississippi,"41,793"
